Kyrgyzstan,KGZ,,,Sinopharm/Beijing,,Sputnik V,,,,,,,
Laos,LAO,,,Sinopharm/Beijing,,Sputnik V,,,,,,,
Latvia,LVA,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,Johnson&Johnson,Moderna,,,,
Lebanon,LBN,Oxford/AstraZeneca,Pfizer/BioNTech,Sinopharm/Beijing,,Sputnik V,,,,,,,
Lesotho,LSO,Oxford/AstraZeneca,,,,,,,,,,,
Liberia,LBR,Oxford/AstraZeneca,,,,,,,,,,,
Libya,LBY,Oxford/AstraZeneca,Pfizer/BioNTech,,,Sputnik V,Sinovac,Johnson&Johnson,Moderna,,,,
Liechtenstein,LIE,,Pfizer/BioNTech,,,,,,Moderna,,,,
Lithuania,LTU,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,Johnson&Johnson,Moderna,,,,
Luxembourg,LUX,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,Moderna,,,,
Macao,MAC,,Pfizer/BioNTech,Sinopharm/Beijing,,,,,,,,,
Madagascar,MDG,Oxford/AstraZeneca,,,,,,,,,,,
Malawi,MWI,Oxford/AstraZeneca,,,,,,,,,,,
Malaysia,MYS,Oxford/AstraZeneca,Pfizer/BioNTech,,,,Sinovac,,,,,,
Maldives,MDV,Oxford/AstraZeneca,Pfizer/BioNTech,Sinopharm/Beijing,,,,,,,,,
Mali,MLI,Oxford/AstraZeneca,,,,,,,,,,,
Malta,MLT,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,Johnson&Johnson,Moderna,,,,
Mauritania,MRT,Oxford/AstraZeneca,Sinopharm/Beijing,,,,,,,,,,
Mauritius,MUS,Oxford/AstraZeneca,,Sinopharm/Beijing,,,,,,Covaxin,,,
Mexico,MEX,Oxford/AstraZeneca,Pfizer/BioNTech,,,Sputnik V,Sinovac,,,,CanSino,,
Moldova,MDA,Oxford/AstraZeneca,Pfizer/BioNTech,Sinopharm/Beijing,,Sputnik V,,,,,,,
Monaco,MCO,,Pfizer/BioNTech,,,,,,,,,,
Mongolia,MNG,Oxford/AstraZeneca,Pfizer/BioNTech,Sinopharm/Beijing,,Sputnik V,,,,,,,
Montenegro,MNE,Oxford/AstraZeneca,Pfizer/BioNTech,Sinopharm/Beijing,,Sputnik V,,,,,,,
Montserrat,MSR,Oxford/AstraZeneca,,,,,,,,,,,
Morocco,MAR,Oxford/AstraZeneca,,Sinopharm/Beijing,,,,,,,,,
Mozambique,MOZ,Oxford/AstraZeneca,,Sinopharm/Beijing,,,,,,,,,
Myanmar,MMR,Oxford/AstraZeneca,,,,,,,,,,,
Namibia,NAM,Oxford/AstraZeneca,,Sinopharm/Beijing,,,,,,,,,
Nauru,NRU,Oxford/AstraZeneca,,,,,,,,,,,
Nepal,NPL,Oxford/AstraZeneca,,Sinopharm/Beijing,,,,,,,,,
Netherlands,NLD,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,Johnson&Johnson,Moderna,,,,
New Caledonia,NCL,,Pfizer/BioNTech,,,,,,,,,,
New Zealand,NZL,,Pfizer/BioNTech,,,,,,,,,,
Nicaragua,NIC,Oxford/AstraZeneca,,,,Sputnik V,,,,,,,
Niger,NER,Oxford/AstraZeneca,,Sinopharm/Beijing,,,,,,,,,
Nigeria,NGA,Oxford/AstraZeneca,,,,,,,,,,,
North Macedonia,MKD,Oxford/AstraZeneca,Pfizer/BioNTech,Sinopharm/Beijing,,Sputnik V,,,,,,,
Northern Cyprus,OWID_CYN,Oxford/AstraZeneca,Pfizer/BioNTech,,,,Sinovac,,,,,,
Northern Ireland,OWID_NIR,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,Moderna,,,,
Norway,NOR,,Pfizer/BioNTech,,,,,,Moderna,,,,
Oman,OMN,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,,,,,
Pakistan,PAK,Oxford/AstraZeneca,,Sinopharm/Beijing,,Sputnik V,Sinovac,,,,CanSino,,
Palestine,PSE,Oxford/AstraZeneca,,Pfizer/BioNTech,,,,,Moderna,,,,
Panama,PAN,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,,,,,
Papua New Guinea,PNG,Oxford/AstraZeneca,,Sinopharm/Beijing,,,,,,,,,
Paraguay,PRY,Oxford/AstraZeneca,,Sinopharm/Beijing,,Sinovac,Sputnik V,,,Covaxin,,,
Peru,PER,Oxford/AstraZeneca,Pfizer/BioNTech,Sinopharm/Beijing,,,,,,,,,
Philippines,PHL,Oxford/AstraZeneca,Pfizer/BioNTech,,,Sinovac,Sputnik V,,,,,,
Poland,POL,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,Johnson&Johnson,Moderna,,,,
Portugal,PRT,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,Johnson&Johnson,Moderna,,,,
Qatar,QAT,,Pfizer/BioNTech,,,,,,Moderna,,,,
Romania,ROU,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,Johnson&Johnson,Moderna,,,,
Russia,RUS,,,,,,Sputnik V,,,,,,
Rwanda,RWA,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,Moderna,,,,
Saint Helena,SHN,Oxford/AstraZeneca,,,,,,,,,,,
Saint Kitts and Nevis,KNA,Oxford/AstraZeneca,,,,,,,,,,,
Saint Lucia,LCA,Oxford/AstraZeneca,,,,,,,,,,,
Saint Vincent and the Grenadines,VCT,Oxford/AstraZeneca,,,,,,,,,,,
Samoa,WSM,Oxford/AstraZeneca,,,,,,,,,,,
San Marino,SMR,,Pfizer/BioNTech,,,,Sputnik V,,,,,,
Sao Tome and Principe,STP,Oxford/AstraZeneca,,,,,,,,,,,
Saudi Arabia,SAU,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,,,,,
Scotland,OWID_SCT,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,Moderna,,,,
Senegal,SEN,Oxford/AstraZeneca,,Sinopharm/Beijing,,,,,,,,,
Serbia,SRB,Oxford/AstraZeneca,Pfizer/BioNTech,Sinopharm/Beijing,,,Sputnik V,,,,,,
Seychelles,SYC,Oxford/AstraZeneca,,Sinopharm/Beijing,,,,,,,,,
Sierra Leone,SLE,Oxford/AstraZeneca,,Sinopharm/Beijing,,,,,,,,,
Singapore,SGP,,Pfizer/BioNTech,,,,,,Moderna,,,,
Sint Maarten (Dutch part),SXM,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,Moderna,,,,
Slovakia,SVK,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,Moderna,,,,
Slovenia,SVN,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,,,,,
Solomon Islands,SLB,Oxford/AstraZeneca,,,,,,,,,,,
Somalia,SOM,Oxford/AstraZeneca,,Sinopharm/Beijing,,Sinovac,,,,,,,
South Africa,ZAF,,Pfizer/BioNTech,,,,,Johnson&Johnson,,,,,
South Korea,KOR,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,,,,,
South Sudan,SSD,Oxford/AstraZeneca,,,,,,,,,,,
Spain,ESP,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,Johnson&Johnson,Moderna,,,,
Sri Lanka,LKA,Oxford/AstraZeneca,,Sinopharm/Beijing,,,Sputnik V,,,,,,
Sudan,SDN,Oxford/AstraZeneca,Pfizer/BioNTech,Sinopharm/Beijing,,Sinovac,,,,,,,
Suriname,SUR,Oxford/AstraZeneca,,,,,,,,,,,
Sweden,SWE,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,,,,,
Switzerland,CHE,,Pfizer/BioNTech,,,,,,Moderna,,,,
Syria,SYR,Oxford/AstraZeneca,Sinopharm/Beijing,,,,Sputnik V,,,,,,
Taiwan,TWN,Oxford/AstraZeneca,,,,,,,,,,,
Tajikistan,TJK,Oxford/AstraZeneca,,,,,,,,,,,
Thailand,THA,Oxford/AstraZeneca,,,,Sinovac,,,,,,,
Timor,TLS,Oxford/AstraZeneca,,,,,,,,,,,
Togo,TGO,Oxford/AstraZeneca,,,,,,,,,,,
Tonga,TON,Oxford/AstraZeneca,,,,,,,,,,,
Trinidad and Tobago,TTO,Oxford/AstraZeneca,,,,,,,,,,,
Tunisia,TUN,Oxford/AstraZeneca,Pfizer/BioNTech,,,Sinovac,Sputnik V,,,,,,
Turkey,TUR,,Pfizer/BioNTech,,,Sinovac,,,,,,,
Turkmenistan,TKM,Oxford/AstraZeneca,,Sinopharm/Beijing,,,Sputnik V,,,,,,
Turks and Caicos Islands,TCA,,Pfizer/BioNTech,,,,,,,,,,
Tuvalu,TUV,Oxford/AstraZeneca,,,,,,,,,,,
Uganda,UGA,Oxford/AstraZeneca,,,,,,,,,,,
Ukraine,UKR,Oxford/AstraZeneca,Pfizer/BioNTech,,,Sinovac,,,,,,,
United Arab Emirates,ARE,Oxford/AstraZeneca,Pfizer/BioNTech,Sinopharm/Beijing,Sinopharm/Wuhan,,Sputnik V,,,,,,
United Kingdom,GBR,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,Moderna,,,,
United States,USA,,Pfizer/BioNTech,,,,,Johnson&Johnson,Moderna,,,,
Uruguay,URY,Oxford/AstraZeneca,Pfizer/BioNTech,,,Sinovac,,,,,,,
Uzbekistan,UZB,Oxford/AstraZeneca,,,,,Sputnik V,,,,,,
Vanuatu,VUT,Oxford/AstraZeneca,,,,,,,,,,,
Venezuela,VEN,,,,,,Sputnik V,,,,,,
Vietnam,VNM,Oxford/AstraZeneca,,,,,,,,,,,
Wales,OWID_WLS,Oxford/AstraZeneca,Pfizer/BioNTech,,,,,,Moderna,,,,
Wallis and Futuna,WLF,Oxford/AstraZeneca,,,,,,,,,,,
Yemen,YEM,Oxford/AstraZeneca,,,,,,,,,,,
Zambia,ZMB,Oxford/AstraZeneca,,Sinopharm/Beijing,,,,,,,,,
Zimbabwe,ZWE,,,Sinopharm/Beijing,,,,,,,,,
